clinical_item_id,name,base_name
69140,YFAC23(Result),YFAC23
72299,YFAC24(InRange),YFAC24
69139,YFAC24(Low),YFAC24
72296,YFAC27(High),YFAC27
72476,YFAC27(InRange),YFAC27
69136,YFAC27(Result),YFAC27
72295,YFAC28(InRange),YFAC28
72475,YFAC28(Low),YFAC28
69135,YFAC28(Result),YFAC28
72318,YFAC3(InRange),YFAC3
69160,YFAC3(Low),YFAC3
69133,YFAC30(Result),YFAC30
72317,YFAC4(InRange),YFAC4
69159,YFAC4(Result),YFAC4
72316,YFAC5(InRange),YFAC5
69158,YFAC5(Low),YFAC5
72315,YFAC6(InRange),YFAC6
72509,YFAC6(Low),YFAC6
69157,YFAC6(Result),YFAC6
72314,YFAC7(InRange),YFAC7
69156,YFAC7(Low),YFAC7
72313,YFAC8(InRange),YFAC8
72484,YFAC8(Low),YFAC8
69155,YFAC8(Result),YFAC8
72312,YFAC9(InRange),YFAC9
73653,YFAC9(Low),YFAC9
69154,YFAC9(Result),YFAC9
69528,YFCHY1(Result),YFCHY1
69526,YFCHY6(Result),YFCHY6
72269,YFELB1(High),YFELB1
71413,YFELB1(InRange),YFELB1
70446,YFELB1(Low),YFELB1
70699,YFFQ1(High),YFFQ1
70075,YFFQ1(InRange),YFFQ1
