base_name,window,consecutive,total,normal
12303R,90,NULL,14,2
12304R,1,0,2,0
12304R,1,NULL,18,7
12304R,2,0,3,0
12304R,2,NULL,17,7
12304R,4,0,4,1
12304R,4,1,1,1
12304R,4,NULL,15,5
12304R,7,0,5,2
12304R,7,1,1,1
12304R,7,NULL,14,4
12304R,30,0,5,2
12304R,30,1,1,1
12304R,30,NULL,14,4
12304R,90,0,5,2
12304R,90,1,1,1
12304R,90,NULL,14,4
12306R,1,0,2,0
12306R,1,NULL,18,7
12306R,2,0,3,0
12306R,2,NULL,17,7
12306R,4,0,4,1
12306R,4,1,1,1
12306R,4,NULL,15,5
12306R,7,0,5,2
12306R,7,1,1,1
12306R,7,NULL,14,4
12306R,30,0,5,2
12306R,30,1,1,1
12306R,30,NULL,14,4
12306R,90,0,5,2
12306R,90,1,1,1
12306R,90,NULL,14,4
12307R,1,0,2,0
12307R,1,NULL,18,7
12307R,2,0,3,0
12307R,2,NULL,17,7
12307R,4,0,4,1
12307R,4,1,1,1
12307R,4,NULL,15,5
12307R,7,0,5,2
12307R,7,1,1,1
12307R,7,NULL,14,4
12307R,30,0,5,2
12307R,30,1,1,1
12307R,30,NULL,14,4
12307R,90,0,5,2
12307R,90,1,1,1
12307R,90,NULL,14,4
12308R,1,0,2,0
12308R,1,NULL,18,7
12308R,2,0,3,0
12308R,2,NULL,17,7
12308R,4,0,4,1
12308R,4,1,1,1
12308R,4,NULL,15,5
12308R,7,0,5,2
12308R,7,1,1,1
12308R,7,NULL,14,4
12308R,30,0,5,2
12308R,30,1,1,1
12308R,30,NULL,14,4
12308R,90,0,5,2
12308R,90,1,1,1
12308R,90,NULL,14,4
12309R,1,0,2,0
12309R,1,NULL,18,7
12309R,2,0,3,0
12309R,2,NULL,17,7
12309R,4,0,4,1
12309R,4,1,1,1
12309R,4,NULL,15,5
12309R,7,0,5,2
12309R,7,1,1,1
12309R,7,NULL,14,4
12309R,30,0,5,2
12309R,30,1,1,1
12309R,30,NULL,14,4
12309R,90,0,5,2
12309R,90,1,1,1
12309R,90,NULL,14,4
12310R,1,0,2,0
12310R,1,NULL,18,4
12310R,2,0,3,0
12310R,2,NULL,17,4
12310R,4,0,4,1
12310R,4,1,1,1
12310R,4,NULL,15,2
12310R,7,0,5,2
12310R,7,1,1,1
12310R,7,NULL,14,1
12310R,30,0,5,2
12310R,30,1,1,1
12310R,30,NULL,14,1
12310R,90,0,5,2
12310R,90,1,1,1
12310R,90,NULL,14,1
12311R,1,0,2,0
12311R,1,NULL,18,6
12311R,2,0,3,0
12311R,2,NULL,17,6
12311R,4,0,4,1
12311R,4,1,1,1
12311R,4,NULL,15,4
12311R,7,0,5,2
12311R,7,1,1,1
12311R,7,NULL,14,3
12311R,30,0,5,2
12311R,30,1,1,1
12311R,30,NULL,14,3
12311R,90,0,5,2
12311R,90,1,1,1
12311R,90,NULL,14,3
12312R,1,0,2,0
12312R,1,NULL,18,5
12312R,2,0,3,0
12312R,2,NULL,17,5
12312R,4,0,4,1
12312R,4,1,1,1
12312R,4,NULL,15,3
12312R,7,0,5,2
12312R,7,1,1,1
12312R,7,NULL,14,2
12312R,30,0,5,2
12312R,30,1,1,1
12312R,30,NULL,14,2
12312R,90,0,5,2
12312R,90,1,1,1
12312R,90,NULL,14,2
12313R,1,0,2,0
12313R,1,NULL,18,6
12313R,2,0,3,0
12313R,2,NULL,17,6
12313R,4,0,4,1
12313R,4,1,1,1
12313R,4,NULL,15,4
12313R,7,0,5,2
12313R,7,1,1,1
12313R,7,NULL,14,3
12313R,30,0,5,2
12313R,30,1,1,1
12313R,30,NULL,14,3
12313R,90,0,5,2
12313R,90,1,1,1
12313R,90,NULL,14,3
12314R,1,0,2,0
12314R,1,NULL,18,6
12314R,2,0,3,0
12314R,2,NULL,17,6
12314R,4,0,4,1
12314R,4,1,1,1
12314R,4,NULL,15,4
12314R,7,0,5,1
12314R,7,1,1,1
12314R,7,NULL,14,4
12314R,30,0,5,1
12314R,30,1,1,1
12314R,30,NULL,14,4
12314R,90,0,5,1
12314R,90,1,1,1
12314R,90,NULL,14,4
12316R,1,0,2,0
12316R,1,NULL,18,3
12316R,2,0,3,0
12316R,2,NULL,17,3
12316R,4,0,4,1
12316R,4,1,1,1
12316R,4,NULL,15,1
12316R,7,0,5,1
12316R,7,1,1,1
12316R,7,NULL,14,1
12316R,30,0,5,1
12316R,30,1,1,1
12316R,30,NULL,14,1
12316R,90,0,5,1
12316R,90,1,1,1
12316R,90,NULL,14,1
12317R,1,0,2,0
12317R,1,NULL,18,5
12317R,2,0,3,0
12317R,2,NULL,17,5
12317R,4,0,4,1
12317R,4,1,1,1
12317R,4,NULL,15,3
12317R,7,0,5,2
12317R,7,1,1,1
12317R,7,NULL,14,2
12317R,30,0,5,2
12317R,30,1,1,1
12317R,30,NULL,14,2
12317R,90,0,5,2
12317R,90,1,1,1
12317R,90,NULL,14,2
12318R,1,0,2,0
12318R,1,NULL,18,4
12318R,2,0,3,0
12318R,2,NULL,17,4
12318R,4,0,4,1
12318R,4,1,1,1
12318R,4,NULL,15,2
12318R,7,0,5,2
12318R,7,1,1,1
12318R,7,NULL,14,1
12318R,30,0,5,2
12318R,30,1,1,1
12318R,30,NULL,14,1
12318R,90,0,5,2
12318R,90,1,1,1
12318R,90,NULL,14,1
12339R,1,0,7,3
12339R,1,1,2,2
12339R,1,NULL,55,23
12339R,2,0,16,5
12339R,2,1,11,9
12339R,2,NULL,37,14
12339R,4,0,22,5
12339R,4,1,14,13
12339R,4,2,5,3
12339R,4,NULL,23,7
12339R,7,0,25,6
12339R,7,1,10,10
12339R,7,2,7,4
12339R,7,3,2,2
12339R,7,NULL,20,6
12339R,30,0,29,7
12339R,30,1,11,10
12339R,30,2,7,4
12339R,30,3,3,2
12339R,30,NULL,14,5
12339R,90,0,29,7
12339R,90,1,9,9
12339R,90,2,9,5
12339R,90,3,4,3
12339R,90,NULL,13,4
12372R,1,NULL,5,1
12372R,2,NULL,5,1
12372R,4,NULL,5,1
12372R,7,NULL,5,1
12372R,30,NULL,5,1
12372R,90,NULL,5,1
12375R,1,NULL,2,1
12375R,2,NULL,2,1
12375R,4,NULL,2,1
12375R,7,NULL,2,1
12375R,30,NULL,2,1
12375R,90,NULL,2,1
12552R,1,NULL,4,1
12552R,2,NULL,4,1
12552R,4,NULL,4,1
12552R,7,NULL,4,1
12552R,30,NULL,4,1
12552R,90,NULL,4,1
12577R,1,0,1,0
12577R,1,NULL,10,1
12577R,2,0,1,0
12577R,2,NULL,10,1
12577R,4,0,1,0
12577R,4,NULL,10,1
12577R,7,0,2,0
12577R,7,NULL,9,1
12577R,30,0,3,0
12577R,30,NULL,8,1
12577R,90,0,3,0
12577R,90,NULL,8,1
12588R,1,NULL,17,12
12588R,2,NULL,17,12
12588R,4,NULL,17,12
12588R,7,NULL,17,12
12588R,30,NULL,17,12
12588R,90,NULL,17,12
125OHD2,1,0,1,1
125OHD2,1,1,1,1
125OHD2,1,NULL,291,145
125OHD2,2,0,3,1
125OHD2,2,1,4,2
125OHD2,2,NULL,286,144
125OHD2,4,0,9,6
125OHD2,4,1,3,1
125OHD2,4,2,1,1
125OHD2,4,NULL,280,139
125OHD2,7,0,12,7
125OHD2,7,1,5,2
125OHD2,7,2,1,1
125OHD2,7,NULL,275,137
125OHD2,30,0,20,10
125OHD2,30,1,6,4
125OHD2,30,2,2,1
125OHD2,30,NULL,265,132
125OHD2,90,0,22,11
125OHD2,90,1,8,4
125OHD2,90,2,2,1
125OHD2,90,NULL,261,131
12644R,1,1,1,1
12644R,1,2,1,0
12644R,1,NULL,2,2
12644R,2,1,1,1
12644R,2,2,1,0
12644R,2,NULL,2,2
12644R,4,1,1,1
12644R,4,2,1,0
12644R,4,NULL,2,2
12644R,7,1,1,1
12644R,7,2,1,0
12644R,7,NULL,2,2
12644R,30,1,1,1
12644R,30,2,1,0
12644R,30,NULL,2,2
12644R,90,1,1,1
12644R,90,2,1,0
12644R,90,NULL,2,2
12662R,1,NULL,4,2
12662R,2,NULL,4,2
12662R,4,NULL,4,2
12662R,7,NULL,4,2
12662R,30,NULL,4,2
12662R,90,NULL,4,2
12684R,1,NULL,5,3
12684R,2,NULL,5,3
12684R,4,NULL,5,3
12684R,7,NULL,5,3
12684R,30,NULL,5,3
12684R,90,NULL,5,3
12766R,1,0,64,22
12766R,1,1,41,26
12766R,1,2,4,3
12766R,1,3,1,1
12766R,1,NULL,73,31
12766R,2,0,68,22
12766R,2,1,35,22
12766R,2,2,12,9
12766R,2,3,3,3
12766R,2,4,1,1
12766R,2,NULL,64,26
12766R,4,0,74,23
12766R,4,1,38,22
12766R,4,2,13,7
12766R,4,3,5,5
12766R,4,4,2,2
12766R,4,5,1,1
12766R,4,NULL,49,22
12766R,7,0,74,23
12766R,7,1,36,22
12766R,7,2,11,7
12766R,7,3,5,5
12766R,7,4,4,2
