y,y_hat_rf,y_hat_mlp
1,0.5495924557562488,0.48904234
1,0.8053376906318084,0.51502275
1,0.5939711516790624,0.42131084
1,0.5708093869731801,0.42740014
0,0.7559290382819794,0.46190196
1,0.27702020202020206,0.50216126
1,0.833348895113601,0.46566865
1,0.9357298474945533,0.5433415
1,0.9777777777777779,0.46626568
1,0.5841827918907027,0.50764453
1,0.9925925925925926,0.54689103
1,0.5755559446000622,0.4651186
0,0.49631253006253007,0.5685429
1,0.975925925925926,0.4293862
1,0.610146280734516,0.43055347
0,0.522238455988456,0.32507712
1,0.5868191721132898,0.42303738
0,0.5361904761904761,0.46431082
1,0.9301742919389978,0.5229994
1,0.5236665298303229,0.5002553
1,0.9925925925925926,0.45486698
1,0.9764705882352942,0.61701584
1,0.9703703703703704,0.4842924
0,0.6254901960784314,0.42105964
1,0.5727542204621312,0.47294718
1,0.7138655462184874,0.41029206
1,0.6254901960784314,0.52133024
0,0.5868191721132898,0.44749162
0,0.6280981358060467,0.4272329
1,0.9925925925925926,0.46488902
0,0.5727542204621312,0.50822186
1,0.6227124183006536,0.53575015
0,0.5841827918907027,0.4177918
0,0.5495924557562488,0.4674639
0,0.5347619047619048,0.5635386
0,0.46938131313131315,0.4507317
0,0.3446079846079846,0.41345012
1,0.6886710239651416,0.42614117
1,0.5538690476190476,0.41571006
1,0.8854497354497355,0.53859013
0,0.552552200260111,0.4605266
1,0.4645593869731801,0.54077667
0,0.8558823529411764,0.47219646
0,0.975925925925926,0.47473773
1,0.5727542204621312,0.4692924
1,0.552552200260111,0.42222893
0,1.0,0.52863514
1,0.9925925925925926,0.5420447
1,0.5183424557562488,0.51687735
1,0.6157018362900717,0.3082827
0,0.490988455988456,0.40415826
1,1.0,0.5252994
1,0.522238455988456,0.53214216
1,0.6199346405228758,0.42110622
1,0.6042732648615001,0.3765357
0,0.6199346405228758,0.46369252
1,0.5665765827403759,0.5678624
0,0.46346450962830266,0.38236105
1,0.9925925925925926,0.41807222
